year,state,district,candidate,candidate_normalized,party,votes,money_raised
,Georgia,9,Doug Collins,collins,Republician,224665,1306992
,Georgia,9,Josh McCall,mccall,Democratic,57925,95822
,Georgia,9,Robin Gilmer,gilmer,Libertarian,,5720
,Georgia,10,Jody B Hice,hice,Republician,190395,624688
,Georgia,10,Tabitha Johnson-Green,johnsongreen,Democratic,112346,22768
,Georgia,10,Patrick Moorehead,moorehead,Independent,,70
,Georgia,11,Barry Loudermilk,Loudermilk,Republician,191887,796400
,Georgia,11,Flynn Broady Jr,broady,Democratic,118653,46306
,Georgia,12,Richard W Allen,allen,Republician,148986,1026342
,Georgia,12,Francys Johnson,johnson,Democratic,101503,231577
,Georgia,12,Gregory Marzett,marzett,Independent,,0
,Georgia,12,Mary West,west,Independent,,0
,Georgia,13,David Scott,scott,Democratic,223157,1034621
,Georgia,13,Martin Cowen,cowen,Libertarian,,20182
,Georgia,13,David Callahan,callahan,Republician,69760,17282
,Georgia,14,Tom Graves,graves,Republician,175743,1944661
,Georgia,14,Steven Foster,foster,Democratic,53981,12575
,Ohio,1,Steve Chabot,chabot,Republician,151107,1578379
,Ohio,1,Aftab Pureval,pureval,Democratic,135467,3464558
,Ohio,1,Anthony J Seta,seta,Third,,0
,Ohio,2,Brad Wenstrup,wenstrup,Republician,163450,1364360
,Ohio,2,Jill Schiller,schiller,Democratic,115777,550098
,Ohio,2,Steve Myers,myers,Independent,,0
,Ohio,2,Jim Condit Jr,condit,Third,,0
,Ohio,3,Joyce Beatty,beatty,Democratic,174421,970811
,Ohio,3,James E Burgess,burgess,Republician,63470,0
,Ohio,4,Jim Jordan,jordan,Republician,164640,790555
,Ohio,4,Janet Garrett,garrett,Democratic,87061,551202
,Ohio,5,Robert E Latta,latta,Republician,173894,1519154
,Ohio,5,John Michael Galbraith,galbraith,Democratic,97352,198583
,Ohio,6,Bill Johnson,johnson,Republician,169668,1824414
,Ohio,6,Shawna Roberts,roberts,Democratic,75226,21880
,Ohio,7,Bob Gibbs,gibbs,Republician,150317,1023343
,Ohio,7,Ken Harbaugh,harbaugh,Democratic,105105,2718322
,Ohio,8,Warren Davidson,davidson,Republician,170561,673488
,Ohio,8,Venessa Enoch,enoch,Democratic,84738,54755
,Ohio,9,Marcy Kaptur,kaptur,Democratic,152682,710739
,Ohio,9,Steven Kraus,kraus,Republician,73183,37624
,Ohio,9,McKenzie Levindofske,levindofske,Independent,,0
,Ohio,10,Michael R Turner,turner,Republician,153640,1145485
,Ohio,10,Theresa asper,gasper,Democratic,114699,1076584
,Ohio,10,Michael Little,little,Independent,,0
,Ohio,11,Marcia L Fudge,fudge,Democratic,197147,731592
,Ohio,11,Beverly A Goldstein,goldstein,Republician,43453,16018
,Ohio,11,Jams Jerome Bell,bell,Independent,,0
,Ohio,12,Troy Balderson,balderson,Republician,171757,2304530
,Ohio,12,Danny O'Connor,oconnor,Democratic,156863,7372303
,Ohio,12,Joe Manchik,manchik,Third,,0
,Ohio,13,Tim Ryan,ryan,Democratic,149271,1481019
,Ohio,13,Chris Depizzo,depizzo,Republician,96225,83596
,Ohio,13,Louis G Lyras,lyras,Independent,,30000
,Ohio,14,David P Joyce,joyce,Republician,166483,2256722
,Ohio,14,Betsy Rader,rader,Democratic,134059,1940087
,Ohio,14,Adam Hickey,hickey,Third,,626
,Ohio,14,James Rajiah,rajiah,Independent,,0
,Ohio,15,Steve Stivers,stivers,Republician,166632,3878843
,Ohio,15,Rick Neal,neal,Democratic,112546,1260692
,Ohio,15,Johnathan Miller,miller,Libertarian,,0
,Ohio,16,Anthony Gonzalez,gonzalez,Republician,166933,1822071
,Ohio,16,Susan Palmer,palmer,Democratic,126736,374831
,Arizona,1,Tom O'Halleran,ohalleran,Democratic,143234,2371428
,Arizona,1,Wendy Rogers,rogers,Republician,122784,1137241
,Arizona,2,Ann Kirkpatrick,kirkpatrick,Democratic,161000,4043760
,Arizona,2,Lea Marquez Peterson,marquzpeterson,Republician,133083,1331808
,Arizona,3,Raul M Grijalva,grijalva,Democratic,114028,632548
,Arizona,3,Nick Pierson,pierson,Republician,64605,59043
,Arizona,4,Paul Gosar,gosar,Republician,188678,531152
,Arizona,4,David Brill,brill,Democratic,84446,407519
,Arizona,4,Haryaksha Gregor Knauer,knauer,Third,,0
,Arizona,5,Andy Biggs,biggs,Republician,183658,586651
,Arizona,5,Joan Greene,greene,Democratic,125403,176577
,Arizona,6,David Schweikert,schweikert,Republician,171314,1547683
,Arizona,6,Anita Malik,malik,Democratic,138920,364942
,Arizona,7,Ruben Gallego,gallego,Democratic,111209,971220
,Arizona,8,Debbie Lesko,lesko,Republician,166913,1901338
,Arizona,8,Harai Tipirneni,Tipirneni,Democratic,133842,4050263
,Arizona,9,Greg Stanton,stanton,Democratic,156848,2316397
,Arizona,9,Steve Ferrara,ferrara,Republician,100173,1476494
,Florida,1,Matt Gaetz,gaetz,Republician,216189,1081540
